,DATE,DailyAverageDryBulbTemperature,year
3696,2015-02-14,79.0,2015
3697,2015-02-15,73.0,2015
3698,2015-02-16,48.0,2015
3699,2015-02-17,54.0,2015
3700,2015-02-18,57.0,2015
3701,2015-02-19,61.0,2015
3702,2015-02-20,70.0,2015
3703,2015-02-21,66.0,2015
3704,2015-02-22,49.0,2015
3705,2015-02-23,29.0,2015
3706,2015-02-24,36.0,2015
3707,2015-02-25,53.0,2015
3708,2015-02-26,38.0,2015
3709,2015-02-27,31.0,2015
3710,2015-02-28,31.0,2015
3711,2015-03-01,36.0,2015
3712,2015-03-02,39.0,2015
3713,2015-03-03,53.0,2015
3714,2015-03-04,52.0,2015
3715,2015-03-05,38.0,2015
3716,2015-03-06,54.0,2015
3717,2015-03-07,63.0,2015
3718,2015-03-08,52.0,2015
3719,2015-03-09,50.0,2015
3720,2015-03-10,58.0,2015
3721,2015-03-11,66.0,2015
3722,2015-03-12,69.0,2015
3723,2015-03-13,63.0,2015
3724,2015-03-14,67.0,2015
3725,2015-03-15,66.0,2015
3726,2015-03-16,80.0,2015
3727,2015-03-17,82.0,2015
3728,2015-03-18,64.0,2015
3729,2015-03-19,77.0,2015
3730,2015-03-20,60.0,2015
3731,2015-03-21,62.0,2015
3732,2015-03-22,67.0,2015
3733,2015-03-23,75.0,2015
3734,2015-03-24,87.0,2015
3735,2015-03-25,83.0,2015
3736,2015-03-26,65.0,2015
3737,2015-03-27,69.0,2015
3738,2015-03-28,83.0,2015
3739,2015-03-29,85.0,2015
3740,2015-03-30,77.0,2015
3741,2015-03-31,84.0,2015
3742,2015-04-01,81.0,2015
3743,2015-04-02,87.0,2015
3744,2015-04-03,73.0,2015
3745,2015-04-04,68.0,2015
3746,2015-04-05,60.0,2015
3747,2015-04-06,84.0,2015
3748,2015-04-07,82.0,2015
3749,2015-04-08,76.0,2015
3750,2015-04-09,85.0,2015
3751,2015-04-10,69.0,2015
3752,2015-04-11,74.0,2015
3753,2015-04-12,79.0,2015
3754,2015-04-13,70.0,2015
3755,2015-04-14,60.0,2015
3756,2015-04-15,76.0,2015
3757,2015-04-16,77.0,2015
3758,2015-04-17,72.0,2015
3759,2015-04-18,80.0,2015
3760,2015-04-19,75.0,2015
3761,2015-04-20,68.0,2015
3762,2015-04-21,75.0,2015
3763,2015-04-22,78.0,2015
3764,2015-04-23,74.0,2015
3765,2015-04-24,70.0,2015
3766,2015-04-25,87.0,2015
